Level,Factor,Comparison,Chi2,df,p_raw,p_adj,alpha,Sig,N_S1,PropSig_S1,N_M1,PropSig_M1,N_PMv,PropSig_PMv,N_M3,PropSig_M3
Overall,Behavior,"S1,M1,PMv,M3",6.64485604916234,3,0.0841214950796899,NaN,0.05,0,56,0.714285714285714,264,0.715909090909091,177,0.621468926553672,155,0.619354838709677
Overall,Time,"S1,M1,PMv,M3",84.0113386823522,3,4.23017952965676e-18,NaN,0.05,1,56,0.678571428571429,264,0.465909090909091,177,0.23728813559322,155,0.135483870967742
Overall,Interact,"S1,M1,PMv,M3",58.0972024164757,3,1.49851702745898e-12,NaN,0.05,1,56,0.553571428571429,264,0.397727272727273,177,0.209039548022599,155,0.129032258064516
Pairwise,Time,"S1 vs M1",8.3579563527999,1,0.00384002196030688,0.00512002928040917,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Time,"S1 vs PMv",36.7426746546076,1,1.34796169683521e-09,4.04388509050562e-09,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Time,"S1 vs M3",60.2346355397789,1,8.41975060270885e-15,1.01037007232506e-13,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Time,"M1 vs PMv",23.6512896474966,1,1.15468502198965e-06,1.97946003769654e-06,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Time,"M1 vs M3",47.2716582855683,1,6.17993469886735e-12,3.70796081932041e-11,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Time,"PMv vs M3",5.57034585973064,1,0.0182671522510542,0.021920582701265,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Interact,"S1 vs M1",4.59162321054904,1,0.032128573302646,0.0350493526937957,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Interact,"S1 vs PMv",24.4333595983334,1,7.69250677321816e-07,1.53850135464363e-06,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Interact,"S1 vs M3",40.452703914227,1,2.01433492545869e-10,8.05733970183475e-10,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Interact,"M1 vs PMv",17.2799923196102,1,3.22565449445517e-05,4.83848174168275e-05,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Interact,"M1 vs M3",33.6830586809504,1,6.48631270570681e-09,1.55671504936964e-08,0.05,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pairwise,Interact,"PMv vs M3",3.71958612338457,1,0.0537776993980131,0.0537776993980131,0.05,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
